ip,AS Number,Range,Location,Organization
103.232.241.70,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
103.232.241.2,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
142.251.227.211,AS15169,142.250.0.0 - 142.251.255.255,"Chennai, Tamil Nadu, India",Google LLC
142.251.55.247,AS15169,142.250.0.0 - 142.251.255.255,"Chennai, Tamil Nadu, India",Google LLC
34.149.41.86,AS396982,34.128.0.0 - 34.191.255.255,"Kansas City, Missouri, United States",Google LLC
