ip,AS Number,Range,Location,Organization
103.232.241.70,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
103.232.241.2,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
115.247.100.29,AS55836,115.240.0.0 - 115.247.255.255,"Hyderābād, Telangana, India",Reliance Jio Infocomm Limited
49.44.187.49,AS55836,49.32.0.0 - 49.47.255.255,"Airoli, Maharashtra, India",Reliance Jio Infocomm Limited
104.16.133.229,AS13335,104.16.0.0 - 104.31.255.255,"San Francisco, California, United States","Cloudflare, Inc."
