ip,AS Number,Range,Location,Organization
103.232.241.70,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
103.232.241.2,AS59193,103.232.241.0 - 103.232.241.255,"Sangāreddi, Telangana, India",IIT Hyderabad
103.198.142.154,AS64049,103.198.142.0 - 103.198.142.255,"Singapore, Singapore, Singapore",Reliance Jio Infocomm Pte Ltd Singapore
80.255.14.194,AS201011,80.255.14.0 - 80.255.14.255,"Stockholm, Stockholm, Sweden",Core-Backbone GmbH
80.255.15.126,AS201011,80.255.15.0 - 80.255.15.255,"Haninge, Stockholm, Sweden",Core-Backbone GmbH
213.239.224.21,AS24940,213.239.192.0 - 213.239.255.255,"Helsinki, Uusimaa, Finland",Hetzner Online GmbH
88.198.242.250,AS24940,88.198.0.0 - 88.198.255.255,"Helsinki, Uusimaa, Finland",Hetzner Online GmbH
95.217.163.246,AS24940,95.216.0.0 - 95.217.255.255,"Vantaa, Uusimaa, Finland",Hetzner Online GmbH
